Species,SpAbrev,Accession #,Collection Location,MaternalLine,Treatment,TreatNotes,Replicate#,dLabel,Seeds/Dish,Substrate,PreTreatment,StartTemp,StratifLength,StartDate,StartPhotoperiod,Temp2,Temp2Date,Temp2Photo,Germ,Unvia,tGrm,tUnv,dChk,PropGerm,PropInv
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6L","dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-001,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Light - 12/12,2,0,14,0,6,0.7,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6L","dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-002,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Light - 12/12,0,0,14,4,2,0.7,0.2
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6L","dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-003,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Light - 12/12,1,0,14,0,6,0.7,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6L","dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-004,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Light - 12/12,0,0,16,0,4,0.8,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6L","dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-005,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Light - 12/12,1,0,18,0,2,0.9,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15L","dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-006,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Light - 12/12,NA,NA,20,0,0,1,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15L","dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-007,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Light - 12/12,0,0,19,0,1,0.95,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15L","dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-008,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Light - 12/12,0,0,19,0,1,0.95,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15L","dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-009,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Light - 12/12,NA,NA,18,2,0,0.9,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15L","dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-010,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Light - 12/12,0,0,19,0,1,0.95,0
